id,name,score1,score2
622,Student_622,73,75
623,Student_623,51,87
624,Student_624,96,51
625,Student_625,99,51
626,Student_626,95,58
627,Student_627,95,72
628,Student_628,61,72
629,Student_629,78,56
630,Student_630,82,83
631,Student_631,94,64
632,Student_632,80,76
633,Student_633,72,81
634,Student_634,84,58
635,Student_635,82,75
636,Student_636,72,55
637,Student_637,92,71
638,Student_638,92,90
639,Student_639,59,87
640,Student_640,93,74
641,Student_641,81,62
642,Student_642,58,94
643,Student_643,91,94
644,Student_644,89,81
645,Student_645,100,89
646,Student_646,73,81
647,Student_647,53,70
648,Student_648,72,82
649,Student_649,58,95
650,Student_650,54,76
651,Student_651,56,66
652,Student_652,98,66
653,Student_653,55,57
654,Student_654,81,69
655,Student_655,96,60
656,Student_656,61,95
657,Student_657,64,74
658,Student_658,97,83
659,Student_659,65,58
660,Student_660,51,52
661,Student_661,96,92
662,Student_662,51,92
663,Student_663,76,80
664,Student_664,73,92
665,Student_665,56,89
666,Student_666,86,87
667,Student_667,87,88
668,Student_668,50,76
669,Student_669,60,88
670,Student_670,67,95
671,Student_671,62,53
672,Student_672,57,89
673,Student_673,96,86
674,Student_674,54,76
675,Student_675,89,91
676,Student_676,94,85
677,Student_677,69,51
678,Student_678,76,83
679,Student_679,58,70
680,Student_680,70,52
681,Student_681,71,79
682,Student_682,89,53
683,Student_683,80,76
684,Student_684,88,65
685,Student_685,74,87
686,Student_686,86,74
687,Student_687,79,75
688,Student_688,74,52
689,Student_689,83,84
690,Student_690,54,100
691,Student_691,89,60
692,Student_692,50,80
693,Student_693,82,65
694,Student_694,62,68
695,Student_695,85,75
696,Student_696,83,80
697,Student_697,61,94
698,Student_698,70,68
699,Student_699,79,72
700,Student_700,97,65
701,Student_701,87,65
702,Student_702,71,81
703,Student_703,91,67
704,Student_704,52,56
705,Student_705,56,73
706,Student_706,66,50
707,Student_707,55,61
708,Student_708,82,98
709,Student_709,60,64
710,Student_710,83,80
711,Student_711,53,93
712,Student_712,97,91
713,Student_713,89,96
714,Student_714,77,80
715,Student_715,80,66
716,Student_716,59,94
717,Student_717,90,71
718,Student_718,57,82
719,Student_719,93,66
720,Student_720,60,67
721,Student_721,91,65
722,Student_722,71,65
723,Student_723,75,53
724,Student_724,69,83
725,Student_725,53,51
726,Student_726,71,61
727,Student_727,65,94
728,Student_728,80,61
729,Student_729,95,67
730,Student_730,90,81
731,Student_731,99,81
732,Student_732,85,80
733,Student_733,88,91
734,Student_734,83,51
735,Student_735,67,56
736,Student_736,63,56
737,Student_737,58,76
738,Student_738,80,85
739,Student_739,64,71
740,Student_740,73,58
741,Student_741,75,73
742,Student_742,95,51
743,Student_743,73,77
744,Student_744,88,98
745,Student_745,78,65
746,Student_746,86,61
747,Student_747,51,50
748,Student_748,86,62
749,Student_749,66,70
750,Student_750,62,84
751,Student_751,94,91
752,Student_752,97,82
753,Student_753,95,73
754,Student_754,91,58
755,Student_755,69,93
756,Student_756,53,98
757,Student_757,72,96
758,Student_758,85,78
759,Student_759,95,56
760,Student_760,98,89
761,Student_761,71,56
762,Student_762,62,58
763,Student_763,92,87
764,Student_764,71,65
765,Student_765,89,87
766,Student_766,92,64
767,Student_767,65,91
768,Student_768,74,86
769,Student_769,86,66
770,Student_770,56,51
771,Student_771,71,93
772,Student_772,54,66
773,Student_773,68,91
774,Student_774,70,56
775,Student_775,92,61
776,Student_776,77,82
777,Student_777,73,60
778,Student_778,72,93
779,Student_779,56,56
780,Student_780,87,86
781,Student_781,64,88
782,Student_782,93,59
783,Student_783,83,73
784,Student_784,70,73
785,Student_785,80,99
786,Student_786,91,83
787,Student_787,59,80
788,Student_788,63,80
789,Student_789,99,83
790,Student_790,76,95
791,Student_791,87,61
792,Student_792,82,81
793,Student_793,81,58
794,Student_794,84,61
795,Student_795,62,58
796,Student_796,98,51
797,Student_797,65,95
798,Student_798,83,99
799,Student_799,89,59
800,Student_800,77,85
801,Student_801,83,52
802,Student_802,54,53
803,Student_803,79,84
804,Student_804,95,94
805,Student_805,51,98
806,Student_806,70,78
807,Student_807,58,81
808,Student_808,67,61
809,Student_809,73,93
810,Student_810,83,58
811,Student_811,74,94
812,Student_812,91,81
813,Student_813,93,99
814,Student_814,56,78
815,Student_815,85,80
816,Student_816,90,67
817,Student_817,69,82
818,Student_818,76,78
819,Student_819,52,65
820,Student_820,78,58
821,Student_821,69,70
822,Student_822,93,89
823,Student_823,84,53
824,Student_824,67,69
825,Student_825,80,51
826,Student_826,92,59
827,Student_827,75,81
828,Student_828,77,97
829,Student_829,91,98
830,Student_830,83,61
831,Student_831,88,69
832,Student_832,88,90
833,Student_833,83,50
834,Student_834,99,52
835,Student_835,67,84
836,Student_836,96,57
837,Student_837,63,84
838,Student_838,86,74
839,Student_839,94,67
840,Student_840,72,57
841,Student_841,93,63
842,Student_842,66,57
843,Student_843,90,89
844,Student_844,83,92
845,Student_845,86,91
846,Student_846,66,57
847,Student_847,54,94
848,Student_848,71,83
849,Student_849,68,91
850,Student_850,76,55
851,Student_851,77,78
852,Student_852,68,92
853,Student_853,95,97
854,Student_854,61,61
855,Student_855,66,85
856,Student_856,68,88
857,Student_857,99,51
858,Student_858,99,90
859,Student_859,99,65
860,Student_860,51,94
861,Student_861,96,75
862,Student_862,51,76
863,Student_863,82,80
864,Student_864,71,64
865,Student_865,54,51
866,Student_866,81,99
867,Student_867,51,89
868,Student_868,54,80
869,Student_869,86,57
870,Student_870,85,69
871,Student_871,92,50
872,Student_872,71,80
873,Student_873,84,92
874,Student_874,68,63
875,Student_875,64,54
876,Student_876,94,57
877,Student_877,73,81
878,Student_878,94,92
879,Student_879,95,51
880,Student_880,99,90
881,Student_881,61,89
882,Student_882,63,73
883,Student_883,66,84
884,Student_884,69,67
885,Student_885,50,94
886,Student_886,70,57
887,Student_887,88,74
888,Student_888,54,93
889,Student_889,61,61
890,Student_890,63,66
891,Student_891,73,77
892,Student_892,97,60
893,Student_893,64,85
894,Student_894,62,84
895,Student_895,58,92
896,Student_896,97,63
897,Student_897,83,84
898,Student_898,95,52
899,Student_899,63,79
900,Student_900,88,70
901,Student_901,50,88
902,Student_902,87,52
903,Student_903,71,66
904,Student_904,75,77
905,Student_905,73,75
906,Student_906,65,91
907,Student_907,55,73
908,Student_908,93,69
909,Student_909,82,67
910,Student_910,98,94
911,Student_911,80,62
912,Student_912,93,100
913,Student_913,55,86
914,Student_914,83,50
915,Student_915,64,85
916,Student_916,54,90
917,Student_917,76,93
918,Student_918,96,61
919,Student_919,98,64
920,Student_920,62,99
921,Student_921,53,53
922,Student_922,57,65
923,Student_923,93,66
924,Student_924,81,73
925,Student_925,54,54
926,Student_926,71,54
927,Student_927,84,60
928,Student_928,62,59
929,Student_929,55,68
930,Student_930,62,97
931,Student_931,81,73
932,Student_932,77,58
933,Student_933,57,72
934,Student_934,86,67
935,Student_935,97,56
936,Student_936,100,100
937,Student_937,80,78
938,Student_938,54,50
939,Student_939,86,56
940,Student_940,59,95
941,Student_941,55,73
942,Student_942,64,90
943,Student_943,74,92
944,Student_944,90,89
945,Student_945,78,96
946,Student_946,58,53
947,Student_947,51,92
948,Student_948,94,84
949,Student_949,76,86
950,Student_950,55,68
951,Student_951,90,96
952,Student_952,100,63
953,Student_953,65,95
954,Student_954,79,94
955,Student_955,94,60
956,Student_956,52,84
957,Student_957,93,82
958,Student_958,59,68
959,Student_959,100,76
960,Student_960,70,95
961,Student_961,64,70
962,Student_962,70,75
963,Student_963,88,95
964,Student_964,52,64
965,Student_965,89,92
966,Student_966,60,90
967,Student_967,66,86
968,Student_968,70,73
969,Student_969,74,63
970,Student_970,80,90
971,Student_971,56,65
972,Student_972,84,96
973,Student_973,74,62
974,Student_974,85,65
975,Student_975,96,87
976,Student_976,66,95
977,Student_977,60,75
978,Student_978,64,97
979,Student_979,89,97
980,Student_980,53,94
981,Student_981,56,50
982,Student_982,54,83
983,Student_983,71,76
984,Student_984,87,96
985,Student_985,77,58
986,Student_986,65,98
987,Student_987,59,93
988,Student_988,51,82
989,Student_989,82,61
990,Student_990,90,81
991,Student_991,54,78
992,Student_992,60,77
993,Student_993,52,55
994,Student_994,96,67
995,Student_995,79,85
996,Student_996,69,56
997,Student_997,53,86
998,Student_998,93,89
999,Student_999,93,88
1000,Student_1000,55,50
1001,Student_1001,94,80
1002,Student_1002,75,51
1003,Student_1003,89,72
1004,Student_1004,70,80
1005,Student_1005,73,64
1006,Student_1006,55,64
1007,Student_1007,86,67
1008,Student_1008,70,95
1009,Student_1009,66,84
1010,Student_1010,57,90
1011,Student_1011,90,65
1012,Student_1012,97,74
1013,Student_1013,73,75
1014,Student_1014,89,74
1015,Student_1015,85,66
1016,Student_1016,84,64
1017,Student_1017,69,98
1018,Student_1018,83,53
1019,Student_1019,75,67
1020,Student_1020,77,70
1021,Student_1021,67,70
1022,Student_1022,71,50
1023,Student_1023,88,72
1024,Student_1024,93,75
1025,Student_1025,83,69
1026,Student_1026,61,61
1027,Student_1027,57,57
1028,Student_1028,94,82
1029,Student_1029,85,75
1030,Student_1030,90,70
1031,Student_1031,90,77
1032,Student_1032,99,66
1033,Student_1033,55,89
1034,Student_1034,54,83
1035,Student_1035,90,53
1036,Student_1036,98,63
1037,Student_1037,57,78
1038,Student_1038,83,72
1039,Student_1039,75,86
1040,Student_1040,54,77
1041,Student_1041,99,100
1042,Student_1042,75,62
1043,Student_1043,83,53
1044,Student_1044,74,57
1045,Student_1045,69,91
1046,Student_1046,85,61
1047,Student_1047,95,88
1048,Student_1048,50,96
1049,Student_1049,72,52
1050,Student_1050,99,89
1051,Student_1051,52,85
1052,Student_1052,71,89
1053,Student_1053,85,54
1054,Student_1054,52,67
1055,Student_1055,57,57
1056,Student_1056,69,59
1057,Student_1057,81,86
1058,Student_1058,68,55
1059,Student_1059,53,55
1060,Student_1060,93,99
1061,Student_1061,69,61
1062,Student_1062,77,76
1063,Student_1063,98,51
1064,Student_1064,91,68
1065,Student_1065,81,99
1066,Student_1066,94,59
1067,Student_1067,67,90
1068,Student_1068,74,99
1069,Student_1069,65,61
1070,Student_1070,60,55
1071,Student_1071,86,50
1072,Student_1072,65,89
1073,Student_1073,64,90
1074,Student_1074,84,77
1075,Student_1075,94,82
1076,Student_1076,69,83
1077,Student_1077,73,99
1078,Student_1078,66,99
1079,Student_1079,51,54
1080,Student_1080,97,85
1081,Student_1081,52,51
1082,Student_1082,71,61
1083,Student_1083,64,98
1084,Student_1084,93,56
1085,Student_1085,99,61
1086,Student_1086,62,85
1087,Student_1087,83,87
1088,Student_1088,77,56
1089,Student_1089,92,88
1090,Student_1090,97,67
1091,Student_1091,61,95
1092,Student_1092,83,54
1093,Student_1093,66,90
1094,Student_1094,75,100
1095,Student_1095,68,86
1096,Student_1096,94,51
1097,Student_1097,59,77
1098,Student_1098,72,98
1099,Student_1099,69,74
1100,Student_1100,76,53
1101,Student_1101,79,74
1102,Student_1102,52,55
1103,Student_1103,63,70
1104,Student_1104,78,98
1105,Student_1105,65,65
1106,Student_1106,95,88
1107,Student_1107,92,94
1108,Student_1108,81,70
1109,Student_1109,81,80
1110,Student_1110,71,97
1111,Student_1111,58,72
1112,Student_1112,88,93
1113,Student_1113,76,97
1114,Student_1114,90,78
1115,Student_1115,70,50
1116,Student_1116,68,87
1117,Student_1117,53,59
1118,Student_1118,74,58
1119,Student_1119,99,74
1120,Student_1120,77,77
1121,Student_1121,51,64
1122,Student_1122,55,78
1123,Student_1123,99,87
1124,Student_1124,90,77
1125,Student_1125,71,87
1126,Student_1126,84,62
1127,Student_1127,79,75
1128,Student_1128,68,57
1129,Student_1129,90,72
1130,Student_1130,93,81
1131,Student_1131,53,97
1132,Student_1132,81,94
1133,Student_1133,53,96
1134,Student_1134,91,67
1135,Student_1135,55,62
1136,Student_1136,89,78
1137,Student_1137,84,93
1138,Student_1138,54,59
1139,Student_1139,53,72
1140,Student_1140,65,86
1141,Student_1141,50,81
1142,Student_1142,52,60
1143,Student_1143,97,63
1144,Student_1144,71,54
1145,Student_1145,86,61
1146,Student_1146,79,72
1147,Student_1147,82,84
1148,Student_1148,89,58
1149,Student_1149,77,75
1150,Student_1150,59,98
1151,Student_1151,89,86
1152,Student_1152,68,70
1153,Student_1153,62,96
1154,Student_1154,62,69
1155,Student_1155,89,96
1156,Student_1156,75,60
1157,Student_1157,64,100
1158,Student_1158,60,76
1159,Student_1159,70,85
1160,Student_1160,86,72
1161,Student_1161,81,59
1162,Student_1162,88,95
1163,Student_1163,98,53
1164,Student_1164,68,95
1165,Student_1165,73,81
1166,Student_1166,73,93
1167,Student_1167,96,95
1168,Student_1168,56,95
1169,Student_1169,70,59
1170,Student_1170,65,67
1171,Student_1171,71,92
1172,Student_1172,68,60
1173,Student_1173,70,53
1174,Student_1174,58,87
1175,Student_1175,85,62
1176,Student_1176,79,55
1177,Student_1177,55,93
1178,Student_1178,68,76
1179,Student_1179,58,68
1180,Student_1180,81,89
1181,Student_1181,75,92
1182,Student_1182,55,66
1183,Student_1183,56,100
1184,Student_1184,70,83
1185,Student_1185,64,70
1186,Student_1186,52,66
1187,Student_1187,83,72
1188,Student_1188,91,100
1189,Student_1189,54,88
1190,Student_1190,68,53
1191,Student_1191,85,66
1192,Student_1192,81,72
1193,Student_1193,57,60
1194,Student_1194,53,71
1195,Student_1195,75,94
1196,Student_1196,64,89
1197,Student_1197,56,93
1198,Student_1198,82,65
1199,Student_1199,93,89
1200,Student_1200,65,60
1201,Student_1201,67,51
1202,Student_1202,56,80
1203,Student_1203,89,82
1204,Student_1204,98,89
1205,Student_1205,81,54
1206,Student_1206,60,99
1207,Student_1207,79,61
1208,Student_1208,63,98
1209,Student_1209,81,75
1210,Student_1210,54,69
1211,Student_1211,56,59
1212,Student_1212,59,85
1213,Student_1213,51,90
1214,Student_1214,81,76
1215,Student_1215,63,53
1216,Student_1216,100,83
1217,Student_1217,85,88
1218,Student_1218,66,87
1219,Student_1219,77,71
1220,Student_1220,56,86
1221,Student_1221,96,63
1222,Student_1222,87,73
1223,Student_1223,75,53
1224,Student_1224,67,63
1225,Student_1225,53,93
1226,Student_1226,83,60
1227,Student_1227,96,59
1228,Student_1228,66,88
1229,Student_1229,52,56
